training_step, return
254,0.0
1158,3.0
1354,2.0
1424,0.0
1683,0.0
1886,2.0
1951,0.0
2241,1.0
2457,0.0
2591,4.0
2711,0.0
2961,1.0
3015,1.0
3146,1.0
3323,1.0
3371,1.0
3523,1.0
3664,1.0
3802,2.0
4096,1.0
4381,1.0
4514,3.0
4561,0.0
4840,0.0
4929,1.0
5131,0.0
5162,2.0
5655,2.0
5797,6.0
5878,0.0
5987,1.0
6172,0.0
6229,1.0
6363,1.0
6702,0.0
6918,0.0
7092,2.0
7210,0.0
7447,1.0
7528,4.0
7775,1.0
7997,1.0
8276,3.0
8599,1.0
8689,1.0
8854,1.0
9032,0.0
9177,1.0
9310,0.0
9504,3.0
9628,0.0
9755,1.0
9913,1.0
9960,1.0
10128,2.0
10275,2.0
10364,1.0
11474,2.0
11531,3.0
11690,3.0
11938,3.0
12036,4.0
12180,3.0
12275,2.0
12631,2.0
12775,4.0
12973,0.0
13155,3.0
13284,2.0
13379,2.0
13532,3.0
13677,2.0
13847,1.0
14442,1.0
14598,1.0
14743,1.0
14878,0.0
15011,3.0
15096,0.0
15485,0.0
15669,1.0
15773,0.0
16121,2.0
16141,0.0
16270,4.0
16448,2.0
16563,1.0
16858,1.0
16927,3.0
17153,0.0
17178,0.0
17305,0.0
17482,0.0
17638,1.0
17686,2.0
18247,1.0
18561,1.0
18819,3.0
18889,3.0
19081,6.0
19358,3.0
19659,2.0
20129,4.0
20301,3.0
20620,7.0
20748,2.0
21022,6.0
21111,3.0
21250,3.0
21445,4.0
21848,5.0
22332,3.0
22802,3.0
23296,3.0
23501,4.0
23652,5.0
23907,4.0
24042,5.0
24454,4.0
24827,3.0
25021,2.0
25274,12.0
25409,8.0
25596,4.0
25789,5.0
26485,3.0
26686,2.0
26940,5.0
27046,3.0
27209,8.0
27278,2.0
27471,7.0
27792,2.0
28516,3.0
28664,1.0
29117,4.0
29264,7.0
29346,4.0
29495,3.0
29753,2.0
29955,4.0
30573,4.0
30889,7.0
31088,3.0
31327,7.0
31350,2.0
31578,8.0
31712,3.0
31807,7.0
32124,5.0
33012,5.0
33230,2.0
33307,1.0
33427,7.0
33603,3.0
33685,1.0
33853,3.0
34084,4.0
34924,1.0
35068,7.0
35209,3.0
35224,2.0
35364,7.0
35495,4.0
35671,4.0
35790,5.0
37351,5.0
37411,3.0
37648,6.0
37742,4.0
37939,5.0
38103,12.0
38216,8.0
38542,3.0
38912,7.0
39310,2.0
39396,3.0
39730,4.0
39817,4.0
40065,5.0
40140,3.0
40591,3.0
41345,3.0
41455,7.0
41787,4.0
41812,2.0
41939,5.0
42100,3.0
42232,8.0
42911,2.0
43061,3.0
43355,2.0
43480,3.0
43659,6.0
44320,4.0
44457,2.0
44887,7.0
44988,4.0
45100,3.0
45240,14.0
45539,4.0
45685,3.0
46349,3.0
46489,3.0
46667,3.0
46771,2.0
47017,3.0
47106,2.0
47265,3.0
47518,0.0
47871,4.0
48115,2.0
48208,2.0
48399,3.0
48683,2.0
48827,4.0
49310,3.0
49588,4.0
49949,11.0
50258,3.0
50563,5.0
50789,5.0
50843,2.0
51085,3.0
51375,7.0
51630,3.0
52034,11.0
52180,2.0
52269,2.0
52469,2.0
52622,3.0
52721,2.0
52795,2.0
52925,4.0
53857,1.0
54013,2.0
54130,4.0
54374,5.0
54525,7.0
54704,1.0
55199,1.0
55245,6.0
55585,1.0
55633,5.0
55796,2.0
55886,3.0
56048,3.0
56379,2.0
56886,2.0
57222,3.0
57369,5.0
57468,2.0
57590,2.0
57663,3.0
57994,5.0
58055,2.0
58751,2.0
58927,3.0
59218,2.0
59369,2.0
59708,4.0
60138,4.0
60343,3.0
60494,3.0
60586,8.0
60790,3.0
61056,6.0
61678,1.0
61885,2.0
62034,7.0
62141,2.0
62199,7.0
62345,2.0
62528,3.0
62800,3.0
63197,1.0
63591,1.0
63649,6.0
63908,3.0
63997,1.0
64285,11.0
64371,3.0
64759,1.0
64941,0.0
65158,1.0
65506,3.0
65759,5.0
66068,4.0
66225,1.0
66383,5.0
66632,9.0
66888,5.0
67011,4.0
67191,3.0
67787,3.0
67947,1.0
68243,2.0
68456,4.0
68566,6.0
68661,3.0
69029,3.0
69218,3.0
69330,2.0
69625,1.0
69806,3.0
69971,3.0
70085,1.0
70249,0.0
70509,7.0
70703,3.0
70901,2.0
71061,2.0
71172,2.0
71356,3.0
71678,3.0
71791,2.0
72248,2.0
72414,1.0
72578,4.0
72980,4.0
73089,3.0
73708,3.0
74040,1.0
74316,4.0
74494,4.0
74606,3.0
74895,7.0
75763,4.0
76128,9.0
76265,11.0
76372,7.0
76517,3.0
76667,7.0
76921,3.0
77017,4.0
77360,2.0
77438,1.0
78147,3.0
78186,7.0
78402,0.0
78557,3.0
78579,7.0
78859,9.0
78971,4.0
79768,10.0
79958,2.0
80100,3.0
